window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,8587,7399,0.8616513334109701,42.935,0.9828810993362059,0.4225589225589226,1.0,1.418259,3177.929719381298,36.995,14.640538326851233,1.3042795836838517,1
1,200001,400001,200000.0,3441,1465,0.42574832897413545,17.205,0.9279279279279279,0.42459514170040485,1.0,1.009297,940.7862235397508,7.325,14.640538326851233,1.3042795836838517,1
2,400001,600001,200000.0,3483,1492,0.428366350846971,17.415,0.8621877691645133,0.4600703164239076,1.0,1.007741,985.924566173253,7.46,14.640538326851233,1.3042795836838517,1
3,600001,800001,200000.0,1054,447,0.4240986717267552,5.27,0.8149905123339658,0.44810543657331137,1.078717,3.026889,118.26940042799092,2.235,2.8835936780344,0.6808957917436599,1
4,800001,1000001,200000.0,1147,422,0.3679163034001744,5.735,0.7759372275501307,0.43448275862068964,1.073915,3.369867,108.62980588901131,2.11,2.4053778289491143,0.7609547070386316,1
5,1000001,1200001,200000.0,1169,409,0.3498716852010265,5.845,0.76732249786142,0.5157894736842106,1.063532,3.089607,128.58602259515902,2.045,0.11349008767267482,0.054985507593350205,1
6,1200001,1400001,200000.0,1108,391,0.3528880866425993,5.54,0.779783393501805,0.4490934449093445,1.047835,3.17743,109.61931268042598,1.955,0.06174544517574803,0.03049157786456693,1
7,1400001,1600001,200000.0,1125,395,0.3511111111111111,5.625,0.7528888888888889,0.4780821917808219,1.0365,3.372884,115.24724134659093,1.975,0.0408350339775936,0.020427730854223912,1
8,1600001,1800001,200000.0,1206,408,0.3383084577114428,6.03,0.7213930348258707,0.46365914786967416,1.03987,2.83403,135.40355152873093,2.04,0.0408350339775936,0.020427730854223912,1
9,1800001,2000001,200000.0,1189,396,0.3330529857022708,5.945,0.7165685449957948,0.4401008827238335,2.03965,3.311392,94.65222731518385,1.98,0.07458216945055544,0.03655988698556639,1
10,2000001,2200001,200000.0,1124,409,0.3638790035587189,5.62,0.7241992882562278,0.5006993006993007,2.03575,3.188524,101.60418903545451,2.045,0.06618156843073005,0.03226795145330572,1
11,2200001,2400001,200000.0,1215,432,0.35555555555555557,6.075,0.6872427983539094,0.51213282247765,2.03915,3.394745,106.7674412377835,2.16,0.08824681297333911,0.042426352391028425,1
12,2400001,2600001,200000.0,1156,406,0.35121107266435986,5.78,0.7024221453287197,0.49866666666666665,2.0375,2.994636,107.86444990309342,2.03,0.08162413858627557,0.03914826790708661,1
13,2600001,2800001,200000.0,1264,437,0.34572784810126583,6.32,0.6938291139240507,0.49939540507859737,2.04135,3.489105,104.93798087812455,2.185,0.07878768939340418,0.037661419404112904,1
14,2800001,3000001,200000.0,1190,401,0.3369747899159664,5.95,0.6966386554621848,0.4740177439797212,2.03945,3.041135,105.13095708691472,2.005,0.07878768939340365,0.03828361972468593,1
15,3000001,3200001,200000.0,1227,416,0.33903830480847597,6.135,0.706601466992665,0.44143033292231815,2.04055,2.959461,108.32030718210582,2.08,0.09403456811168714,0.0450141541942016,1
16,3200001,3400001,200000.0,1192,398,0.3338926174496644,5.96,0.7189597315436241,0.43702770780856426,2.03967,3.328458,94.11511492125584,1.99,0.08510287891694042,0.04153385989113734,1
17,3400001,3600001,200000.0,1312,437,0.3330792682926829,6.56,0.6951219512195121,0.5085714285714286,3.04375,3.316489,100.02776592647619,2.185,0.08150153372760198,0.03958306640485768,1
18,3600001,3800001,200000.0,1134,397,0.35008818342151676,5.67,0.6772486772486772,0.5169606512890095,3.03685,3.02007,98.2010601530334,1.985,0.09249324299618579,0.04459654917848881,1
19,3800001,4000001,200000.0,1253,411,0.3280127693535515,6.265,0.6879489225857941,0.45605700712589076,3.0421,3.199627,94.47443901598784,2.055,0.08927485648239086,0.04298259821010634,1
20,4000001,4200001,200000.0,1253,431,0.34397446129289705,6.265,0.6767757382282522,0.4610705596107056,3.0411,3.382365,94.4472339172809,2.155,0.06580273550507931,0.03208324500491434,1
21,4200001,4400001,200000.0,1261,401,0.31800158604282314,6.305,0.6931007137192704,0.47325581395348837,3.043,3.312565,90.88976213984436,2.005,0.054772255750073454,0.026524094794224434,1
22,4400001,4600001,200000.0,1255,411,0.32749003984063746,6.275,0.699601593625498,0.5023696682464455,3.0422,2.95629,103.78413684610467,2.055,0.062289646009200304,0.029932554545507115,1
23,4600001,4800001,200000.0,1314,411,0.3127853881278539,6.57,0.6879756468797564,0.4673311184939092,3.04515,3.265598,94.64213238995191,2.055,0.062289646009200304,0.029932554545507115,1
24,4800001,5000001,200000.0,1349,427,0.31653076352853965,6.745,0.6879169755374351,0.4761388286334056,3.0461,2.899896,108.21505744985345,2.135,0.062289646009200304,0.029932554545507115,1
